Dates,Abs_return1,Signals1,Abs_return3,Signals3,Abs_return5,Signals5,Abs_return7,Signals7,Abs_return10,Signals10,Abs_return15,Signals15,Abs_return20,Signals20,Abs_return25,Signals25,Abs_return30,Signals30
2003-02-19,-0.006779661016949157,0,0.02626970227670755,1,0.046428571428571486,1,0.015597920277296451,1,-0.028997514498757204,0,-0.002553191489361617,0,0.014718614718614687,1,-0.010135135135135087,0,-0.033800494641385015,0
2003-02-20,-0.0008532423208190698,0,-0.005942275042444711,0,0.032627865961199376,1,-0.019262981574539206,0,-0.0034042553191488967,0,-0.028215767634854783,0,0.018260869565217552,1,-0.009306260575296044,0,-0.036213991769547316,0
2003-02-21,0.0076857386848847575,1,0.0,1,0.03327495621716303,1,0.0535714285714286,1,-0.014202172096908883,0,0.015490533562822817,1,-0.024793388429751984,0,0.026086956521739202,1,-0.026402640264026278,0
2003-02-24,-0.008474576271186529,0,-0.0017064846416383617,0,-0.006791171477079749,0,0.03174603174603163,1,0.013864818024263537,1,-0.012658227848101333,0,-0.015979814970563555,0,0.03356890459363959,1,-0.03145695364238421,0
2003-02-25,0.027350427350427475,1,0.026473099914602782,1,0.018644067796609987,1,0.0525394045534151,1,0.00670016750418756,1,0.02037351443123936,1,0.071301247771836,1,0.045217391304347876,1,0.018644067796609987,1
2003-02-26,-0.01830282861896826,0,0.0,1,0.006825938566553003,1,0.0016977928692700761,1,0.0535714285714286,1,-0.02236951118475561,0,0.004255319148936287,1,0.02164502164502169,1,-0.0033783783783782884,0
2003-02-27,0.012711864406779627,1,0.02136752136752129,1,0.02049530315969239,1,0.012711864406779627,1,0.05379188712522032,1,0.017021276595744705,1,-0.008298755186722073,0,0.03913043478260869,1,0.010998307952622577,1
2003-02-28,0.0,1,-0.005823627287853572,0,0.012711864406779627,1,0.019624573378839383,1,0.046409807355516586,1,-0.001670843776107045,0,0.02839931153184172,1,-0.012396694214876103,0,0.03913043478260869,1
2003-03-03,0.020083682008368298,1,0.033050847457626986,1,0.041880341880341954,1,0.040990606319385,1,0.03480475382003401,1,0.05632582322357016,1,0.028691983122362874,1,0.025231286795626584,1,0.07685512367491154,1
2003-03-04,-0.015586546349466768,0,0.004184100418409997,1,-0.0016638935108153063,0,0.016949152542372836,1,0.016949152542372836,1,0.005025125628140836,1,0.018675721561969505,1,0.06951871657753994,1,0.04347826086956519,1
2003-03-05,-0.010833333333333361,0,-0.006694560669456062,0,0.0059322033898303594,1,0.014529914529914478,1,0.012798634812286602,1,0.05982142857142847,1,-0.016570008285004212,0,0.01021276595744669,1,0.027705627705627567,1
2003-03-06,0.0,1,-0.02625102543068092,0,-0.006694560669456062,0,-0.012479201331114798,0,0.013663535439794927,1,0.04673721340387993,1,0.01021276595744669,1,-0.014937759336099754,0,0.032173913043478164,1
2003-03-07,0.03201347935973042,1,0.02083333333333326,1,0.025104602510460206,1,0.03813559322033888,1,0.03813559322033888,1,0.07267950963222414,1,0.023391812865497075,1,0.054216867469879526,1,0.012396694214876103,1
2003-03-10,-0.02448979591836742,0,0.006739679865206405,1,-0.01968826907301069,0,0.0,1,0.02136752136752129,1,0.014431239388794648,1,0.035528596187174966,1,0.00843881856540074,1,0.005046257359125228,1
2003-03-11,-0.007531380753138084,0,-0.0008424599831508006,0,-0.011666666666666714,0,-0.007531380753138084,0,-0.01331114808652245,0,0.005084745762711673,1,-0.00670016750418756,0,0.00679117147707986,1,0.057040998217468664,1
2003-03-12,0.0,1,-0.0318367346938776,0,-0.0008424599831508006,0,-0.027071369975389725,0,0.005084745762711673,1,0.011945392491467421,1,0.05892857142857144,1,-0.01739850869925441,0,0.009361702127659521,1
2003-03-13,0.026981450252951067,1,0.019246861924686165,1,0.02611625947767493,1,0.014999999999999902,1,0.019246861924686165,1,0.04013663535439793,1,0.07407407407407396,1,0.03659574468085114,1,0.010788381742738551,1
2003-03-14,-0.015599343185550008,0,0.010961214165261524,1,-0.0212244897959184,0,0.010109519797809607,1,0.0033472803347280866,1,0.01610169491525415,1,0.04991243432574444,1,0.0016708437761068229,1,0.03184165232358005,1
2003-03-17,0.005838198498749003,1,0.016863406408094583,1,0.009205020920502127,1,0.016006739679865323,1,-0.01066447908121404,0,0.030769230769230882,1,0.02376910016977929,1,0.045060658578856216,1,0.017721518987341867,1
2003-03-18,0.010779436152570376,1,0.0008210180623973162,1,0.027824620573355885,1,-0.004897959183673528,0,0.015833333333333366,1,0.014143094841930104,1,0.033050847457626986,1,0.020938023450586263,1,0.03480475382003401,1
2003-03-19,-0.004922067268252617,0,0.011676396997498006,1,0.022765598650927643,1,0.015062761506276168,1,0.021903959561921038,1,0.027966101694915313,1,0.03498293515358353,1,0.08303571428571432,1,0.004971002485501197,1
2003-03-20,0.016488046166529102,1,0.02238805970149249,1,0.012315270935960632,1,0.039629005059022004,1,0.03875315922493683,1,0.03179916317991638,1,0.05294619982920579,1,0.08730158730158721,1,0.04936170212765956,1
2003-03-21,0.013787510137875048,1,0.025430680885972112,1,0.042535446205171024,1,0.053962900505902134,1,0.020408163265306145,1,0.046025104602510414,1,0.05932203389830493,1,0.0945709281961471,1,0.044277360066833804,1
2003-03-24,-0.025600000000000067,0,0.004122011541632276,1,0.00995024875621886,1,0.0,1,0.019246861924686165,1,-0.0008203445447088065,0,0.0410256410256411,1,0.03395585738539908,1,0.0554592720970537,1
2003-03-25,-0.005747126436781658,0,-0.017842660178426617,0,-0.00656275635767023,0,0.010008340283569561,1,0.021079258010118007,1,0.009166666666666545,1,0.0074875207986688785,1,0.02627118644067794,1,0.014237855946398703,1
2003-03-26,-0.007431874483897594,0,-0.03839999999999999,0,-0.00906842539159125,0,-0.0033167495854063977,0,0.013490725126475533,1,0.01263689974726212,1,0.018644067796609987,1,0.025597269624573205,1,0.07321428571428568,1
2003-03-27,0.024958402662229595,1,0.011494252873563315,1,-0.0008110300081103361,0,0.010664479081214262,1,0.011494252873563315,1,0.03791069924178614,1,0.030962343096234468,1,0.05209222886421849,1,0.08641975308641969,1
2003-03-28,0.0,1,0.017341040462427904,1,-0.014399999999999968,0,0.015663643858202736,1,0.02752293577981657,1,0.005714285714285783,1,0.030962343096234468,1,0.04406779661016946,1,0.07880910683012265,1
2003-03-31,0.0024350649350648457,1,0.027454242928452555,1,0.013957307060755264,1,0.0016220600162206722,1,0.024046434494195523,1,0.03347280334728042,1,0.01312551271534046,1,0.05555555555555558,1,0.048387096774193505,1
2003-04-01,-0.0008097165991902688,0,0.0016233766233766378,1,0.018992568125516085,1,-0.012800000000000034,0,0.012305168170631653,1,0.0404721753794266,1,0.02833333333333332,1,0.0266222961730449,1,0.04576271186440661,1
2003-04-02,0.024311183144246407,1,0.025974025974025983,1,0.05158069883527472,1,0.03776683087027921,1,0.042044517724649566,1,0.06576728499156848,1,0.06486941870261176,1,0.07118644067796609,1,0.07849829351535842,1
2003-04-03,0.0,1,0.02348178137651824,1,0.025974025974025983,1,0.04376548307184147,1,0.02514193025141931,1,0.03776683087027921,1,0.06486941870261176,1,0.05774058577405872,1,0.07941929974380879,1
